| Worker Node | Available Cores | Available Memory |
|-------------|-----------------|------------------|
| Worker Node 1 |              24 |               64 |
| Worker Node 2 |              24 |               64 |
| Worker Node 3 |              24 |               64 |
| Worker Node 4 |              24 |               64 |
| Worker Node 5 |              24 |               64 |
| Worker Node 6 |              24 |               64 |
| Worker Node 7 |              24 |               64 |
| Worker Node 8 |              24 |               64 |
| Worker Node 9 |              24 |               64 |
| Worker Node 10 |              24 |               64 |
| Worker Node 11 |              24 |               64 |
| Worker Node 12 |              24 |               64 |
| Worker Node 13 |              24 |               64 |
| Worker Node 14 |              24 |               64 |
| Worker Node 15 |              24 |               64 |
| Worker Node 16 |              24 |               64 |
| Worker Node 17 |              24 |               64 |
| Worker Node 18 |              24 |               64 |
| Worker Node 19 |              24 |               64 |
| Worker Node 20 |              24 |               64 |
| Worker Node 21 |              24 |               64 |
| Worker Node 22 |              24 |               64 |
| Worker Node 23 |              24 |               64 |
| Worker Node 24 |              24 |               64 |
| Worker Node 25 |              24 |               64 |
| Worker Node 26 |              24 |               64 |
| Worker Node 27 |              24 |               64 |
| Worker Node 28 |              24 |               64 |
| Worker Node 29 |              24 |               64 |
| Worker Node 30 |              24 |               64 |
| Worker Node 31 |              24 |               64 |
| Worker Node 32 |              24 |               64 |
| Worker Node 33 |              24 |               64 |
| Worker Node 34 |              24 |               64 |
| Worker Node 35 |              24 |               64 |
| Worker Node 36 |              24 |               64 |
| Worker Node 37 |              24 |               64 |
| Worker Node 38 |              24 |               64 |
| Worker Node 39 |              24 |               64 |
| Worker Node 40 |              24 |               64 |
| Worker Node 41 |              24 |               64 |
| Worker Node 42 |              24 |               64 |
| Worker Node 43 |              24 |               64 |
| Worker Node 44 |              24 |               64 |
| Worker Node 45 |              24 |               64 |
| Worker Node 46 |              24 |               64 |
| Worker Node 47 |              24 |               64 |
| Worker Node 48 |              24 |               64 |
| Worker Node 49 |              24 |               64 |
| Worker Node 50 |              24 |               64 |
| Worker Node 51 |              24 |               64 |
| Worker Node 52 |              24 |               64 |
| Worker Node 53 |              24 |               64 |
| Worker Node 54 |              24 |               64 |
| Worker Node 55 |              24 |               64 |
| Worker Node 56 |              24 |               64 |
| Worker Node 57 |              24 |               64 |
| Worker Node 58 |              24 |               64 |
| Worker Node 59 |              24 |               64 |
| Worker Node 60 |              24 |               64 |
| Worker Node 61 |              24 |               64 |
| Worker Node 62 |              24 |               64 |
| Worker Node 63 |              24 |               64 |
| Worker Node 64 |              24 |               64 |
| Worker Node 65 |              24 |               64 |
| Worker Node 66 |              24 |               64 |
| Worker Node 67 |              24 |               64 |
| Worker Node 68 |              24 |               64 |
| Worker Node 69 |              24 |               64 |
| Worker Node 70 |              24 |               64 |
| Worker Node 71 |              24 |               64 |
| Worker Node 72 |              24 |               64 |
| Worker Node 73 |              24 |               64 |
| Worker Node 74 |              24 |               64 |
| Worker Node 75 |              24 |               64 |
| Worker Node 76 |              24 |               64 |
| Worker Node 77 |              24 |               64 |
| Worker Node 78 |              24 |               64 |
| Worker Node 79 |              24 |               64 |
| Worker Node 80 |              24 |               64 |
| Worker Node 81 |              24 |               64 |
| Worker Node 82 |              24 |               64 |
| Worker Node 83 |              24 |               64 |
| Worker Node 84 |              24 |               64 |
| Worker Node 85 |              24 |               64 |
| Worker Node 86 |              24 |               64 |
| Worker Node 87 |              24 |               64 |
| Worker Node 88 |              24 |               64 |
| Worker Node 89 |              24 |               64 |
| Worker Node 90 |              24 |               64 |
| Worker Node 91 |              24 |               64 |
| Worker Node 92 |              24 |               64 |
| Worker Node 93 |              24 |               64 |
| Worker Node 94 |              24 |               64 |
| Worker Node 95 |              24 |               64 |
| Worker Node 96 |              24 |               64 |
| Worker Node 97 |              24 |               64 |
| Worker Node 98 |              24 |               64 |
| Worker Node 99 |              24 |               64 |
| Worker Node 100 |              24 |               64 |
| Worker Node 101 |              24 |               64 |
| Worker Node 102 |              24 |               64 |
| Worker Node 103 |              24 |               64 |
| Worker Node 104 |              24 |               64 |
| Worker Node 105 |              24 |               64 |
| Worker Node 106 |              24 |               64 |
| Worker Node 107 |              24 |               64 |
| Worker Node 108 |              24 |               64 |
| Worker Node 109 |              24 |               64 |
| Worker Node 110 |              24 |               64 |
| Worker Node 111 |              24 |               64 |
| Worker Node 112 |              24 |               64 |
| Worker Node 113 |              24 |               64 |
| Worker Node 114 |              24 |               64 |
| Worker Node 115 |              24 |               64 |
| Worker Node 116 |              24 |               64 |
| Worker Node 117 |              24 |               64 |
| Worker Node 118 |              24 |               64 |
| Worker Node 119 |              24 |               64 |
| Worker Node 120 |              24 |               64 |
| Worker Node 121 |              24 |               64 |
| Worker Node 122 |              24 |               64 |
| Worker Node 123 |              24 |               64 |
| Worker Node 124 |              24 |               64 |
| Worker Node 125 |              24 |               64 |
| Worker Node 126 |              24 |               64 |
| Worker Node 127 |              24 |               64 |
| Worker Node 128 |              24 |               64 |
